JAMAICAN ALLELE FREQUENCIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,D3S1358,vWA,D16S539,CSF1PO,TPOX,Y indel,D8S1179,D21S11,D18S51,DYS391,D2S441,D19S433,TH01,FGA,D22S1045,D5S818,D13S317,D7S820,SE33,D10S1248,D1S1656,D12S391,D2S1338,PENTA E,PENTA D,Allele,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,0.2768,,,,,,0.0141,,,,,0.0000,,,,0.0000,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,
28.2,,,,,,,,0.0000,,,,,,,,,,,0.0426,,,,,,,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,0.1864,,,,,,0.0056,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,
29.2,,,,,,,,0.0000,,,,,,,,,,,0.0313,,,,,,,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,
29.3,,,,,,,,0.0000,,,,,,,,,,,,,,,,,,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,0.1497,,,,,,0.0000,,,,,0.0000,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
30.2,,,,,,,,0.0169,,,,,,0.0000,,,,,0.0256,,,,,,,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,
30.3,,,,,,,,0.0000,,,,,,,,,,,,,,,,,,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,0.0706,,,,,,0.0000,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,
31.2,,,,,,,,0.0508,,,,,,0.0000,,,,,0.0085,,,,,,,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,0.0141,,,,,,,,,,,0.0000,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,
32.1,,,,,,,,0.0028,,,,,,,,,,,,,,,,,,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,
32.2,,,,,,,,0.0650,,,,,,0.0000,,,,,0.0085,,,,,,,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,0.0056,,,,,,,,,,,0.0000,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,
33.2,,,,,,,,0.0339,,,,,,0.0000,,,,,0.0057,,,,,,,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,0.0056,,,,,,,,,,,0.0000,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,
34.1,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,34.1,,,,,,,,,,,,,,,,,,,,,,,,,,
34.2,,,,,,,,0.0000,,,,,,,,,,,0.0000,,,,,,,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,0.0424,,,,,,,,,,,0.0000,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,
35.2,,,,,,,,0.0000,,,,,,,,,,,0.0000,,,,,,,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,0.0028,,,,,,,,,,,0.0000,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,0.0028,,,,,,,,,,,0.0000,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,0.0000,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,
42.2,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,42.2,,,,,,,,,,,,,,,,,,,,,,,,,,
43.2,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,
44.2,,,,,,,,,,,,,,0.0028,,,,,,,,,,,,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,
45.2,,,,,,,,,,,,,,0.0056,,,,,,,,,,,,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,
47.2,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,
48.2,,,,,,,,,,,,,,0.0028,,,,,,,,,,,,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,
50.2,,,,,,,,,,,,,,0,,,,,,,,,,,,50.2,,,,,,,,,,,,,,,,,,,,,,,,,,
51.2,,,,,,,,,,,,,,0,,,,,,,,,,,,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,D3S1358,vWA,D16S539,CSF1PO,TPOX,Y indel,D8S1179,D21S11,D18S51,DYS391,D2S441,D19S433,TH01,FGA,D22S1045,D5S818,D13S317,D7S820,SE33,D10S1248,D1S1656,D12S391,D2S1338,PENTA E,PENTA D,Allele,,,,,,,,,,,,,,,,,,,,,,,,,,
N,354,354,354,354,354,144,354,354,354,288,354,354,354,354,354,354,354,354,352,354,354,354,354,354,354,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where N = number of alleles typed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
