"","D3S1358","vWA","D16S539","CSF1PO","TPOX","Y.indel","D8S1179","D21S11","D18S51","DYS391","D2S441","D19S433","TH01","FGA","D22S1045","D5S818","D13S317","D7S820","SE33","D10S1248","D1S1656","D12S391","D2S1338","PENTA.E","PENTA.D"
"19","0","0.00460405156537753","0.298892988929889","0.221915285451197","0.216789667896679","","0.0395948434622468","","0.00645756457564576","0.238636363636364","0.396869244935543","0.0755064456721915","0","","0.147329650092081","0.238489871086556","0.280847145488029","0.213627992633518","0","0.0515653775322284","0.0589318600368324","","0","0.066543438077634","0.159594095940959"
"20","","","","","","","","","","","","0.000920810313075506","","","","","","","0.000925925925925926","","","","","",""
"21","","","","","","","","","","","0.0322283609576427","","","","","","","0.000920810313075506","","","","","","",""
"22","0.000920810313075506","0","0.181734317343173","0.286372007366482","0.0276752767527675","","0.121546961325967","","0.0470479704797048","0.00568181818181818","0.15377532228361","0.10036832412523","","","0.0478821362799263","0.382136279926335","0.445672191528545","0.104972375690608","0.00185185185185185","0.122467771639042","0.0662983425414365","","0.000920810313075506","0.121996303142329","0.130073800738007"
"23","","","","","","","","","","","","0.0589318600368324","","","","","","","0.00185185185185185","","","","","","0.000922509225092251"
"24","","","","","","","","","","","0.00460405156537753","","","","","","","","","","","","","",""
"25","0.0101289134438306","0.0156537753222836","0.152214022140221","0.0570902394106814","0","","0.211786372007366","","0.0452029520295203","0","0.0451197053406998","0.274401473296501","","0","0.000920810313075506","0.237569060773481","0.142725598526703","0.0174953959484346","0.00925925925925926","0.232044198895028","0.123388581952118","","0.000920810313075506","0.113678373382625","0.0857933579335793"
"26","","","","","","","","","0.00553505535055351","","","0.0561694290976059","","","","","","","0.00555555555555556","","","","","",""
"27","","","","","","","","","","","0.00184162062615101","","0","","","","","","","","","","","",""
"28","0.0920810313075506","0.0699815837937385","0.0129151291512915","0.00552486187845304","0","","0.326887661141805","","0.0507380073800738","","0.234806629834254","0.197053406998158","","0","0.0966850828729282","0.0110497237569061","0.0441988950276243","0.00368324125230203","0.0435185185185185","0.271639042357274","0.233885819521179","0","0.000920810313075506","0.0563770794824399","0.018450184501845"
